%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1372687209629839612,4209,1372687209618367153,-0.0201788114333,-0.0423335828718,0.575683020407,0.816326983105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00751126244198,0.0157307880203,0.0709243350496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478728,-0.878976,9.747216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209711629828,4210,1372687209715432312,-0.0200350844075,-0.0424930807551,0.578061840329,0.814639455364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243720414127,-0.00730494873526,0.0632444069714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439488,-0.878976,9.762912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209815829201,4211,1372687209813434244,-0.0195548813562,-0.0425958160174,0.580628761244,0.812818211342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00819619805926,-0.0094001997847,0.0597562748953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455184,-0.886824,9.762912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687209917776736,4212,1372687209910476875,-0.0188650109483,-0.0423501800448,0.583128241545,0.811056118604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172728764858,-0.00695787118457,0.0660362438083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478728,-0.855432,9.755064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210010520015,4213,1372687210008776247,-0.0179585245547,-0.0423387618318,0.586192862701,0.808865160803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164015147039,-0.0132377834292,0.0723224596288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423792,-0.82404,9.794304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210112686110,4214,1372687210106439429,-0.0172318736581,-0.0420365236917,0.589196314173,0.806711656399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188446112131,-0.00695858374084,0.07999608912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494424,-0.808344,9.747216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210207536822,4215,1372687210204412405,-0.016191797644,-0.0415864130564,0.592850363522,0.804075147241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233822090973,-0.00835040857852,0.0848882430317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408096,-0.800496,9.794304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210300927031,4216,1372687210301509368,-0.0157384333461,-0.0407272646199,0.596183121618,0.801660325282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212864154584,0.00561004391009,0.0876813601293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43164,-0.808344,9.794304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210404176836,4217,1372687210399465044,-0.0158570371065,-0.0394866882292,0.599355212755,0.799351415067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0160528961993,0.0195736436537,0.0845385792702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3924,-0.753408,9.77076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210506492651,4218,1372687210497440824,-0.0157564933455,-0.03815617025,0.603091728489,0.796602916526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195420689576,0.0164290401414,0.0911675232456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43164,-0.769104,9.857088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
